ln_R,ln_I
5.366372108,6.351108551
5.904374123,7.091644287
5.806965828,6.837875843
6.021454334,7.074141026
4.401307106,4.650576591
4.253092766,4.922076702
6.364612579,7.083454609
4.115503311,4.713644505
4.180956841,5.037615299
4.045389652,5.030390263
4.026846409,4.890469551
4.487850189,5.321103573
4.303193569,4.93613863
4.38565588,5.334839344
5.839235306,7.405115128
5.126818657,4.555075645
6.098182201,6.848599434
3.618791819,4.686623573
5.791180134,6.851334572
4.304377556,5.263669491
4.4094944,5.417771339
5.489597797,6.264583111
6.063368797,7.123157501
3.853756905,4.719937801
4.169942379,4.912658691
5.813279152,6.578228951
3.980713129,4.761863708
4.334534168,5.123630524
6.11990118,7.089630127
5.349154472,6.091090202
5.472934723,6.798793793
6.041668415,6.950057983
5.135059357,5.793801308
6.244394779,7.070791721
6.142596245,7.098935604
5.880334377,6.717383385
5.704068661,6.378880024
4.080532074,4.790310383
5.815303802,6.731583595
4.590984344,4.652191162
4.132203102,4.57138443
5.339066505,6.196330547
4.268284798,4.312296391
5.96966362,7.117132664
5.646982193,6.797268867
5.095569611,5.223473072
5.750392914,6.862286091
4.616417885,5.198453426
4.172732353,5.37972784
4.550228596,4.338096619
3.997205973,5.243309975
4.303449631,5.191767693
5.667708397,6.883360863
4.46331358,5.020333767
5.378227711,6.407675743
4.087313175,5.157533169
4.28913641,4.956290245
4.499006748,4.288352966
4.266469955,4.561965942
6.003068447,6.750329971
3.980184793,4.702281952
4.162005901,4.792078018
3.981024504,5.201493263
4.023179531,4.775002003
6.050445557,7.122252464
4.251317501,5.287293911
5.921874046,6.812185287
3.8745296,4.934555531
4.035959721,4.316962242
5.350393295,6.046154022
5.532979965,6.525394917
5.336895943,6.557476997
3.884817839,4.728390217
5.455880642,6.238864899
4.633612633,5.1827178
4.09934473,5.327956676
4.21102953,4.826550961
4.27430439,4.813123703
5.860047817,6.927401543
5.431551456,6.714221954
4.479756832,4.940101147
3.88063097,4.042595387
5.766969204,7.300834179
4.26652956,4.509347916
3.941505194,4.78183794
5.829765797,6.896237373
3.972331762,4.411252022
5.943352222,6.791397572
4.060113907,4.407468796
4.751772881,6.431356907
5.520004272,6.506074429
3.819325209,5.086391926
5.513512611,6.715127945
4.252280235,5.236211777
5.952103615,6.944282532
4.417591572,5.196123123
6.272992134,7.361810207
4.43297863,5.126983643
5.658858776,6.209749222
5.68349123,6.489659309
4.011914253,5.32934761
4.862091064,5.319310665
5.408409119,6.500944614
3.974306583,4.820177078
4.267302036,4.895314693
4.254157066,4.677499294
5.956642151,6.738175869
4.272533894,4.703736305
4.403913021,4.359046936
4.400377274,4.571678638
5.588903904,6.761769772
4.747101784,5.24409914
4.270121098,5.052440166
5.774000645,6.632208824
5.981077194,5.988283157
4.361306667,5.224177361
6.017720699,7.035453796
5.525688648,6.599531174
4.216515064,5.292989731
4.458217621,5.560050488
5.897963524,7.184498787
6.054505825,7.338924885
4.313864231,5.182319641
5.034277916,6.260124683
5.257711887,6.601691723
3.764180422,4.217525005
4.264535904,4.562726498
4.235568047,5.335152149
5.774959564,7.164959908
4.564275265,4.879851341
4.222159386,4.781849861
4.148199558,5.222845554
4.11177063,4.433523178
6.265086174,7.115049839
5.533636093,6.523947239
4.072896004,5.250010014
4.081921101,5.236106873
3.952587843,5.455259323
5.168544769,6.290324211
4.376823425,5.265751839
4.451866627,5.98831749
4.472668648,5.48422575
5.975823402,7.115627766
5.791101456,6.921788216
4.083345413,4.882863998
3.792757034,4.773702145
6.256166458,7.230727673
6.063281059,7.24515152
6.214062691,7.366389275
5.27391386,5.426344872
5.429937363,6.609470367
5.811768532,6.84117794
4.511428356,4.954822063
4.395174503,5.339104176
4.70958662,5.12261343
5.305845261,7.092644691
4.310564041,4.753889561
4.170145035,5.043977261
4.954265118,4.761104584
4.579606533,5.209853649
4.893502235,4.834740639
4.836404324,5.634660721
4.432029247,5.175845146
4.193217754,5.684138298
4.17369318,5.368526936
5.818622112,6.74815321
4.483541489,5.071635723
5.670210838,6.509546757
5.486554146,6.660047531
6.132793903,6.496281624
6.159446716,7.146994591
4.247703552,4.970031261
5.293186188,5.428299427
5.748881817,6.598837376
5.076564789,4.791976929
4.226955414,4.816938877
6.11073637,6.981502533
4.166647434,4.729329109
5.789561272,6.630806923
4.205208778,5.090706348
5.968442917,6.232732773
4.193476677,5.128984451
4.30741024,4.975361347
4.537987709,5.218895435
5.767382622,6.690504074
5.143783092,6.120009422
5.735573292,6.570854187
4.593902588,4.915781975
5.729240417,6.667674065
6.156739712,6.968428135
5.780577183,6.613166332
4.537323952,4.7999897
5.951489449,6.480943203
5.262768269,5.111082554
6.206079006,6.966584206
4.605687141,5.262381077
6.171089649,6.825909615
4.543449402,5.322955608
4.22178936,5.164046764
4.297642231,5.365519047
6.09307766,7.030307293
