ln_R,ln_I
3.827549934,6.784553051
3.318864346,5.721331596
3.533200264,6.086327553
3.509863615,5.697124004
3.63925004,4.930187702
3.20280242,4.330273151
3.795333385,5.931887627
3.684478521,5.261972904
4.009977818,6.326496124
3.838079453,5.512405872
4.290313721,7.739983082
3.588190556,6.240667343
3.72750783,5.541631699
3.235498428,5.072825909
3.404550314,4.851834297
3.531433105,5.449241638
3.854186296,5.618941307
3.663322926,6.125161648
3.368333578,5.27655077
3.376442194,5.688138485
3.897838354,7.562158585
3.59635067,6.173550606
3.758023024,5.57363987
3.341081142,4.81771946
3.232361317,5.897940159
3.610844374,6.1463027
3.324532986,5.287360191
3.499662876,6.166198254
3.34486866,5.395952702
3.709855318,6.23704195
3.5659163,5.844700813
4.020350456,6.049545765
3.251583576,4.226886749
3.588087082,5.384969234
3.377226353,5.799117088
3.531075716,5.634289265
3.623292446,5.679771423
3.38422966,5.406038761
3.813119411,5.336337566
3.41548419,4.902226448
3.40781188,5.584658146
3.396205187,4.472318172
3.059197426,3.820195675
3.451633692,5.217832088
3.241660833,5.588061333
3.232246637,5.03021574
3.296615601,4.556576729
3.570352077,5.814724445
3.296962261,5.122279644
3.49835372,6.019972801
3.3774333,4.888376236
3.529524088,6.044098377
3.38796854,5.44240284
3.570410252,5.87683773
3.410927534,5.711129189
3.779836178,5.680011272
3.228107452,5.714588165
3.293557405,5.336777687
3.608352184,6.133143902
3.576568842,5.560312748
3.316348076,4.782988548
3.236406326,4.8197999
3.602442741,4.919478893
3.583973646,6.566767693
3.499005556,5.547187328
3.193989277,5.900734425
3.400363684,5.439368725
3.56034112,5.703653812
3.402119875,6.284375191
3.551316261,5.257414341
3.402741909,5.37727499
3.186159849,3.9907372
3.215308905,5.324941158
3.42998147,5.32563448
3.431828737,5.609058857
3.50658226,5.731076241
3.397973537,5.921982765
3.597822428,5.864824295
3.501976013,4.146940708
3.090662241,4.508653164
3.351365566,4.270256042
3.322623253,5.787100315
3.181806087,4.631124496
3.763286591,6.751695156
3.597609043,5.871688366
3.614059925,6.113941193
3.031143188,5.671346664
3.408391476,5.631547928
3.5762918,5.899983406
3.756255627,5.989446163
3.519860744,5.797787189
3.158858776,5.5329175
3.51124382,5.579800606
3.299299955,5.296982288
3.278522015,5.309950352
3.765731335,5.205295086
3.667617321,5.905029297
3.712255001,5.940723896
3.270705938,5.076941967
3.492882967,5.566051483
3.416294098,5.741581917
3.553007603,5.355669498
3.481665134,6.042088032
3.226729155,5.339067936
3.753005743,6.058513641
3.30977726,4.72356081
3.197351694,4.26175642
3.559046507,5.882742405
3.326109409,5.563714027
3.159183264,5.097899914
3.456553459,5.299926281
3.547288418,6.037101746
3.021622419,5.209321022
3.38881588,5.566941261
3.54437232,5.736513138
3.436413288,5.75881052
3.637228251,5.816717148
3.072789669,4.164907455
3.417158842,5.676855564
3.878173113,7.895983696
3.387553215,5.270774841
3.533786297,5.752160072
3.435243845,5.283397198
3.290918112,5.193234921
3.997532129,7.178215027
3.316113234,5.522017002
3.398174524,6.075819969
3.373202801,5.621808529
3.735098124,5.824610233
3.513188601,5.568580151
3.63952589,5.698072433
3.63084197,5.327985287
3.525744438,5.690886497
3.54621172,5.420967102
3.217086315,5.320016861
3.279127121,5.297327995
3.288132191,5.013856411
3.852915049,6.495889187
3.599391937,4.824332714
4.01587677,6.710979462
3.464560747,4.520332336
4.052469254,6.972781658
3.644641638,6.003287792
3.257681608,5.183234692
3.352236986,5.322993755
3.261357784,4.189256191
3.59139514,4.094590187
3.469041109,4.430856705
3.685040951,6.053647995
3.444070339,4.993486404
2.955946207,4.974998951
3.221464396,4.261424541
3.209279776,4.091495514
3.793577671,4.065108299
3.863044024,6.954071522
4.057629585,6.323534966
3.642692327,6.106986523
3.421755552,5.763781071
3.456578255,6.33371973
3.505642891,4.47535944
3.412638187,5.150193214
3.6427145,6.652304173
3.636709213,6.127491951
